Date,cpi_headline_index,cpi_headline_yoy
2000-01-01,23.41373619643006,2.61904199608425
2000-02-01,23.35941391887598,3.614462251232573
2000-03-01,23.57671054774652,4.830923903777163
2000-04-01,23.79400717661713,5.542171005195496
2000-05-01,23.90265674416146,5.011929994549711
2000-06-01,24.01130380548767,5.238094976562111
2000-07-01,24.17427565058609,4.952827519811663
2000-08-01,24.06562858925987,3.990608498269448
2000-09-01,24.119953373032,3.496507707841166
2000-10-01,24.39157478567474,2.74600300897997
2000-11-01,24.44589956944694,2.739733530342205
2000-12-01,24.22860043435822,3.480282818136492
2001-01-01,24.17427565058609,3.248261822784144
2001-02-01,24.06562858925987,3.02325509037374
2001-03-01,24.17427565058609,2.534556725499969
2001-04-01,24.33725000190261,2.283107764291742
2001-05-01,24.50022184700096,2.499994495320957
2001-06-01,24.8261680434159,3.393669267313992
2001-07-01,25.15210421495834,4.04491360364108
2001-08-01,25.31508357871107,5.191865173257153
2001-09-01,25.26077383224758,4.729778874660292
2001-10-01,25.42372813381919,4.231597825125409
2001-11-01,25.64104230621654,4.88892925938106
2001-12-01,25.47806294246381,5.156973517685098
2002-01-01,25.3694183873557,4.943861624001274
2002-02-01,25.31508357871107,5.191865173257153
2002-03-01,25.42372813381919,5.168520874389913
2002-04-01,25.47806294246381,4.687517860366372
2002-05-01,25.64104230621654,4.656367874298356
2002-06-01,25.85833141643277,4.157562178793872
2002-07-01,26.12995533529362,3.887750750307948
2002-08-01,26.29290963686522,3.862622278586751
2002-09-01,26.34724444550984,4.30101872760242
2002-10-01,26.45588900061795,4.059832851287288
2002-11-01,26.56453355572607,3.601613532245662
2002-12-01,26.29290963686522,3.198228594699483
2003-01-01,26.23859989040173,3.426099446880644
2003-02-01,26.29290963686522,3.862622278586751
2003-03-01,26.45588900061795,4.059832851287288
2003-04-01,26.78184772812342,5.117283792743193
2003-05-01,26.83615747458691,4.660946127297721
2003-06-01,26.99913683833965,4.411751878088727
2003-07-01,27.21642594855587,4.157950518173136
2003-08-01,27.10778139344776,3.099207230530357
2003-09-01,27.10778139344776,2.886590092982314
2003-10-01,27.32507050366398,3.285398963632361
2003-11-01,27.37940531230861,3.067517654217918
2003-12-01,27.27076075720049,3.719067740468813
2004-01-01,27.37940531230861,4.347813628288127
2004-02-01,27.37940531230861,4.132276307373822
2004-03-01,27.37940531230861,3.490777844090171
2004-04-01,27.37940531230861,2.231203725192191
2004-05-01,27.59669442252483,2.834000913350308
2004-06-01,27.81400859492219,3.018140029667155
2004-07-01,28.08563251378303,3.193683721992457
2004-08-01,28.35723137046275,4.609193053759078
2004-09-01,28.41156617910737,4.809632949064392
2004-10-01,28.57454554286011,4.572632443998963
2004-11-01,28.52021073421548,4.166655224589603
2004-12-01,28.30292162399926,3.784862754612525
2005-01-01,28.57454554286011,4.365106608119849
2005-02-01,28.52021073421548,4.166655224589603
2005-03-01,28.52021073421548,4.166655224589603
2005-04-01,28.73749984443171,4.960277685478285
