Date,IND_CPI,USA_CPI
2000-01-01,2.619041996084248,2.738892270237376
2000-02-01,3.614462251232528,3.221884498480241
2000-03-01,4.830923903777156,3.757575757575759
2000-04-01,5.542171005195476,3.068592057761736
2000-05-01,5.011929994549687,3.188929001203367
2000-06-01,5.238094976562122,3.730445246690735
2000-07-01,4.952827519811638,3.65926814637073
2000-08-01,3.990608498269453,3.411131059245961
2000-09-01,3.496507707841152,3.454437164979166
2000-10-01,2.746003008979952,3.448275862068964
2000-11-01,2.739733530342188,3.446226975638739
2000-12-01,3.480282818136478,3.386809269162211
2001-01-01,3.248261822784131,3.732227488151658
2001-02-01,3.023255090373772,3.533568904593646
2001-03-01,2.534556725499967,2.920560747663544
2001-04-01,2.283107764291756,3.269118505545829
2001-05-01,2.499994495320963,3.615160349854229
2001-06-01,3.393669267313948,3.248259860788866
2001-07-01,4.044913603641084,2.719907407407407
2001-08-01,5.191865173257178,2.719907407407407
2001-09-01,4.729778874660317,2.64824409902129
2001-10-01,4.231597825125383,2.126436781609194
2001-11-01,4.888929259381098,1.895462377943719
2001-12-01,5.156973517685092,1.551724137931032
2002-01-01,4.943861624001248,1.142204454597375
2002-02-01,5.191865173257178,1.137656427758806
2002-03-01,5.168520874389888,1.475595913734393
2002-04-01,4.687517860366363,1.639344262295075
2002-05-01,4.656367874298381,1.181767023072594
2002-06-01,4.157562178793873,1.067415730337071
2002-07-01,3.887750750307922,1.464788732394366
2002-08-01,3.862622278586728,1.802816901408449
2002-09-01,4.301018727602394,1.514301738642747
2002-10-01,4.059832851287323,2.025886325267306
2002-11-01,3.601613532245622,2.198421645997739
2002-12-01,3.198228594699485,2.376910016977928
2003-01-01,3.426099446880664,2.597402597402599
2003-02-01,3.862622278586728,2.980877390326219
2003-03-01,4.059832851287323,3.020134228187927
2003-04-01,5.1172837927432,2.224694104560627
2003-05-01,4.660946127297713,2.057842046718575
2003-06-01,4.41175187808872,2.112284602556985
2003-07-01,4.15795051817315,2.109938922820652
2003-08-01,3.099207230530356,2.158273381294958
2003-09-01,2.886590092982316,2.320441988950275
2003-10-01,3.28539896363236,2.040816326530611
2003-11-01,3.067517654217937,1.765030336458906
2003-12-01,3.719067740468826,1.879491431730243
2004-01-01,4.34781362828812,1.9262520638415
2004-02-01,4.132276307373815,1.693063899508466
2004-03-01,3.490777844090149,1.737242128121605
2004-04-01,2.231203725192179,2.285092491838955
2004-05-01,2.83400091335031,3.051771117166216
2004-06-01,3.018140029667173,3.266194882961344
2004-07-01,3.193683721992472,2.990755845568249
2004-08-01,4.609193053759068,2.654387865655478
2004-09-01,4.809632949064399,2.5377969762419
2004-10-01,4.572632443998932,3.189189189189197
2004-11-01,4.166655224589633,3.52303523035231
2004-12-01,3.784862754612501,3.255561584373298
2005-01-01,4.365106608119839,2.969762419006473
2005-02-01,4.166655224589633,3.007518796992472
2005-03-01,4.166655224589633,3.148345784418353
2005-04-01,4.960277685478292,3.510638297872344
2005-05-01,3.740161234514734,2.802749867794816
2005-06-01,3.320237880699135,2.530311017395886
2005-07-01,4.061882606158246,3.167898627243922
2005-08-01,3.448330718752116,3.641160949868071
2005-09-01,3.632889719250217,4.686677198525539
2005-10-01,4.182446809443625,4.347826086956511
2005-11-01,5.333319273307523,3.455497382198945
2005-12-01,5.566240565018573,3.415659485023653
2006-01-01,4.372597895357225,3.985317252228636
2006-02-01,4.571441627166769,3.59749739311784
2006-03-01,4.571441627166769,3.362648732540099
2006-04-01,4.652866442011854,3.545734840698867
2006-05-01,5.925433747142865,4.166666666666672
2006-06-01,7.269188103062133,4.318766066838056
2006-07-01,6.332166252056916,4.145342886386904
2006-08-01,5.938357545374035,3.818737270875759
2006-09-01,6.398644225915783,2.062374245472838
2006-10-01,6.917476545504965,1.305220883534137
2006-11-01,5.950762094655111,1.973684210526322
2006-12-01,6.528610061669308,2.540650406504058
2007-01-01,6.722689075630423,2.075642965204235
2007-02-01,7.563025210084193,2.41519879214896
2007-03-01,6.722689075630423,2.778778778778777
2007-04-01,6.666666666666837,2.573697270471466
2007-05-01,6.611570247934053,2.690864197530859
2007-06-01,5.691056910569284,2.687037949728931
2007-07-01,6.451612903225972,2.358230958230951
2007-08-01,7.258064516129187,1.970083374203047
2007-09-01,6.400000000000165,2.755051749630353
2007-10-01,5.511811023622011,3.536174430128851
2007-11-01,5.511811023622011,4.30620347394541
2007-12-01,5.511811023622011,4.081268582755212
2008-01-01,5.511811023622011,4.280294047901349
2008-02-01,5.468749999999965,4.026555413048716
2008-03-01,7.87401574803144,3.981456231251699
2008-04-01,7.812499999999945,3.936889774827511
2008-05-01,7.751937984496053,4.175543041803519
2008-06-01,7.692307692307639,5.021790047611721
2008-07-01,8.33333333333327,5.600122900253925
2008-08-01,9.02255639097737,5.371855115262292
2008-09-01,9.774436090225494,4.936927430572166
2008-10-01,10.44776119402975,3.655186277137491
2008-11-01,10.44776119402975,1.069574691807383
2008-12-01,9.701492537313348,0.0914129006456006
2009-01-01,10.44776119402975,0.0298465036952788
2009-02-01,9.629629629629546,0.2361910880378666
2009-03-01,8.029197080291896,-0.3835562549173852
2009-04-01,8.695652173912976,-0.7368857152167096
2009-05-01,8.633093525179788,-1.281435798958602
2009-06-01,9.285714285714208,-1.426776043689863
2009-07-01,11.8881118881118,-2.097161353676022
2009-08-01,11.72413793103459,-1.484348611960553
2009-09-01,11.64383561643845,-1.286205966642702
2009-10-01,11.48648648648659,-0.182848277486116
2009-11-01,13.5135135135136,1.838295869130281
2009-12-01,14.96598639455789,2.721331126205837
2010-01-01,16.21621621621628,2.625708642957616
2010-02-01,14.86486486486495,2.143331778145365
2010-03-01,14.86486486486495,2.31395944694395
2010-04-01,13.33333333333342,2.236447195648092
2010-05-01,13.907284768212,2.020986084093975
2010-06-01,13.72549019607851,1.053348972845664
2010-07-01,11.25000000000008,1.235192778301474
2010-08-01,9.876543209876456,1.148104561839206
2010-09-01,9.815950920245326,1.143682658159289
2010-10-01,9.696969696969614,1.172187605526981
2010-11-01,8.33333333333327,1.143160911570236
2010-12-01,9.467455621301706,1.495723527314345
2011-01-01,9.302325581395284,1.631846857448751
2011-02-01,8.823529411764635,2.107584628658194
2011-03-01,8.823529411764635,2.681603264240822
2011-04-01,9.411764705882272,3.163630859276415
2011-05-01,8.720930232558072,3.568645784634606
2011-06-01,8.620689655172345,3.558828252242313
2011-07-01,8.426966292134779,3.628715982221043
2011-08-01,8.98876404494376,3.771208179119795
2011-09-01,10.05586592178777,3.868356841040233
2011-10-01,9.39226519337025,3.525199921357338
2011-11-01,9.340659340659412,3.394377590800889
2011-12-01,7.096193476561658,2.962418844871097
2012-01-01,5.758293396982965,2.925216712150888
2012-02-01,8.038941658573645,2.871098780438183
2012-03-01,8.887415022384438,2.651398193021807
2012-04-01,9.802286242025104,2.30273981129898
2012-05-01,10.24104008586156,1.704253774937538
2012-06-01,10.36638240845089,1.663993762238479
2012-07-01,9.705603211436271,1.408450704225363
2012-08-01,10.48862907379139,1.692378997550129
2012-09-01,9.779915204847468,1.991282080665064
2012-10-01,10.01823670535331,2.162343598871165
2012-11-01,9.90359333917618,1.764133846085861
2012-12-01,10.56338028169015,1.741022368747501
2013-01-01,10.3511569993563,1.594864668122506
2013-02-01,10.50802348943978,1.977923509749057
2013-03-01,9.646922007703877,1.473896212596818
2013-04-01,8.970400384206455,1.063085381489429
2013-05-01,8.770290000772865,1.361965058851663
2013-06-01,9.910463690582638,1.754416545376985
2013-07-01,9.96496740307118,1.960681611844407
2013-08-01,9.992857857275837,1.518367559543181
2013-09-01,10.2779888665158,1.184925261552122
2013-10-01,10.54255732555261,0.9636127046434484
2013-11-01,11.54040986463702,1.237072204533924
2013-12-01,9.639211883349804,1.501735619618428
2014-01-01,8.604206500956023,1.578947368421135
2014-02-01,7.882241215574549,1.126349250105494
2014-03-01,8.452041785375119,1.512202875763064
2014-04-01,8.482563619227143,1.952857898516761
2014-05-01,8.325537885874649,2.12711154993676
2014-06-01,6.77035681610247,2.072341373167034
2014-07-01,7.387387387387387,1.992328635764288
2014-08-01,7.02846975088968,1.69961133416283
2014-09-01,5.628847845206684,1.657918675715062
2014-10-01,4.616724738675958,1.664340215631993
2014-11-01,3.267411865864144,1.322355182370907
2014-12-01,4.279475982532751,0.7564932696556671
2015-01-01,5.193661971830986,-0.0893483130697235
2015-02-01,5.369718309859155,-0.0251298018152604
2015-03-01,5.253940455341506,-0.0736373908664328
2015-04-01,4.865334491746308,-0.1995174461767153
2015-05-01,5.008635578583765,-0.0399327448508359
2015-06-01,5.398457583547558,0.1237712036853899
2015-07-01,3.691275167785235,0.1695697796432611
2015-08-01,3.740648379052369,0.1950792930057573
2015-09-01,4.412989175686928,-0.0361297478060127
2015-10-01,4.995836802664446,0.1705744357355335
2015-11-01,5.412156536219817,0.501797578667871
2015-12-01,5.611390284757119,0.7295197860416746
2016-01-01,5.690376569037657,1.373086813831015
2016-02-01,5.263157894736842,1.017799780165491
2016-03-01,4.825291181364393,0.8525362211426781
2016-04-01,5.468102734051367,1.125110418894484
2016-05-01,5.756578947368421,1.019322554193554
2016-06-01,5.772357723577236,0.9973264945231004
2016-07-01,6.067961165048544,0.8271388704987089
2016-08-01,5.048076923076923,1.062874502761024
2016-09-01,4.385964912280702,1.46378364748158
2016-10-01,4.203013481363997,1.635987520917629
2016-11-01,3.63349131121643,1.692537162503779
2016-12-01,3.409992069785884,2.074622132966852
2017-01-01,3.167062549485352,2.500042209053025
2017-02-01,3.650793650793651,2.737958171489271
2017-03-01,3.80952380952381,2.380612433440305
2017-04-01,2.985074626865672,2.1996898784173
2017-05-01,2.177293934681182,1.874877720841404
2017-06-01,1.53727901614143,1.63348795525645
2017-07-01,2.364607170099161,1.727978456372505
2017-08-01,3.279938977879481,1.938974212058172
2017-09-01,3.284950343773873,2.232963865003278
2017-10-01,3.576864535768645,2.041128701976218
2017-11-01,4.878048780487805,2.202582938683161
2017-12-01,5.214723926380368,2.109082474568439
2018-01-01,5.065234075211051,2.070507620275126
2018-02-01,4.44104134762634,2.211795421238671
2018-03-01,4.357798165137615,2.359711403972912
2018-04-01,4.576659038901602,2.46274394333478
2018-05-01,4.87062404870624,2.801011714807528
2018-06-01,4.844814534443603,2.871547835316684
2018-07-01,4.172876304023845,2.949515086647147
2018-08-01,3.692762186115214,2.699180104187478
2018-09-01,3.698224852071006,2.276972194198925
2018-10-01,3.306392358559882,2.522469928607
2018-11-01,2.325581395348837,2.176601032152368
2018-12-01,2.113702623906706,1.910158848631409
2019-01-01,1.972242512783053,1.551235138199174
2019-02-01,2.565982404692082,1.520135265933284
2019-03-01,2.857142857142857,1.862522740569181
2019-04-01,2.990517870167761,1.996439775530236
2019-05-01,3.047895500725689,1.790228468766434
2019-06-01,3.176895306859206,1.648484656076288
2019-07-01,3.147353361945637,1.811464806393482
2019-08-01,3.276353276353276,1.749779889429152
2019-09-01,3.994293865905849,1.711304513169592
2019-10-01,4.694167852062589,1.764042944421389
2019-11-01,5.539772727272727,2.051277981891649
2019-12-01,7.351891506067095,2.285129740121685
2020-01-01,7.593123209169054,2.486571955250452
2020-02-01,6.576125804145818,2.334873563945933
2020-03-01,5.84045584045584,1.539326991919828
2020-04-01,7.223796033994334,0.3290966863368516
2020-05-01,6.267605633802817,0.1179263702106663
2020-06-01,6.22813156053184,0.645733047555495
2020-07-01,6.726768377253814,0.9860818253036732
2020-08-01,6.689655172413793,1.3096453823307
2020-09-01,7.270233196159122,1.371324861056413
2020-10-01,7.608695652173913,1.182066167727519
2020-11-01,6.93135935397039,1.174535784267973
2020-12-01,4.587765957446809,1.362005494719296
2021-01-01,4.061251664447403,1.399769741560067
2021-02-01,5.030181086519115,1.676215217374499
2021-03-01,5.518169582772544,2.619762508959171
2021-04-01,4.227212681638045,4.159694838702088
2021-05-01,6.295559973492379,4.992706537594501
2021-06-01,6.258234519104084,5.391451413321331
2021-07-01,5.588044184535413,5.365475239385443
2021-08-01,5.300581771170006,5.251271554874979
2021-09-01,4.347826086956522,5.390348855079128
2021-10-01,4.482323232323232,6.221868903328889
2021-11-01,4.908747640025173,6.809002839806515
2021-12-01,5.594405594405594,7.036402865545102
2022-01-01,6.014075495841331,7.479872468289133
2022-02-01,6.066411238825032,7.871063897739304
2022-03-01,6.951530612244898,8.542455554842451
2022-04-01,7.79467680608365,8.258629340882406
2022-05-01,7.044887780548628,8.58151154367651
2022-06-01,7.005579665220087,9.05975796478412
2022-07-01,6.707692307692308,8.524814745625514
2022-08-01,6.998158379373849,8.262692503116227
2022-09-01,7.41421568627451,8.201669643833643
2022-10-01,6.767371601208459,7.745427330804896
2022-11-01,5.878824235152969,7.110322794191701
2022-12-01,5.779650812763396,6.454401331410848
2023-01-01,6.517803258901629,6.410146968856213
2023-02-01,6.441902468392535,6.035613077866629
2023-03-01,5.664877757901014,4.984974122099194
2023-04-01,4.703115814226925,4.930320398188865
2023-05-01,4.25160163075131,4.047609272791954
2023-06-01,4.866743916570104,2.969177654558938
2023-07-01,7.439446366782007,3.177780177942154
2023-08-01,6.827309236947791,3.665112384399539
2023-09-01,5.019965772960639,3.699698121344465
2023-10-01,4.867006225240521,3.241144651893215
2023-11-01,5.552407932011331,3.137270708841786
2023-12-01,5.691519635742743,3.352122831430251
2024-01-01,5.099150141643059,3.090884781228074
