Date,iip_general_index_spliced,iip_general_yoy
2000-01-01,50.82624449460445,
2000-02-01,50.32794797995147,
2000-03-01,54.34546362934116,
2000-04-01,48.739627839495085,
2000-05-01,49.82965146529849,
2000-06-01,48.2413313248421,
2000-07-01,48.70848430732927,
2000-08-01,49.0510631611532,
2000-09-01,49.393642014977125,
2000-10-01,48.95763256465576,
2000-11-01,50.795100962438646,
2000-12-01,53.53573179303007,
2001-01-01,53.00629174621126,4.199777360926715
2001-02-01,51.69826339524718,2.6863642269548293
2001-03-01,55.15519546565226,1.4789803146305402
2001-04-01,49.95422559396174,2.461468545220624
2001-05-01,50.60823976944378,1.5504186535965303
2001-06-01,49.51821614364037,2.6124454797408436
2001-07-01,49.95422559396174,2.5253867321203494
2001-08-01,50.514809172946336,2.9404683415624966
2001-09-01,50.35909151211728,1.9357457382313648
2001-10-01,50.514809172946336,3.131126168620657
2001-11-01,52.0096987169053,2.363030278978684
2001-12-01,55.15519546565226,2.98016323999839
2002-01-01,55.09290840132064,3.8610385026466076
2002-02-01,53.03743527837708,2.5573799312099688
2002-03-01,57.36638624942488,3.9307579032419326
2002-04-01,52.0096987169053,4.032311698434077
2002-05-01,52.694856424553144,4.040344540233054
2002-06-01,51.7605504595788,4.428768020111651
2002-07-01,53.50458826086425,6.866031411774065
2002-08-01,53.629162389527494,5.982645031231781
2002-09-01,53.50458826086425,6.058824296709364
2002-10-01,54.06517183984886,6.792366054493737
2002-11-01,54.15860243634629,4.048660894348233
2002-12-01,58.54984047172572,5.972741804116222
2003-01-01,58.79898872905222,6.510365254566075
2003-02-01,56.74351560610865,6.754339715721525
2003-03-01,60.72988772333253,5.697743474254047
2003-04-01,54.189745968512106,4.1061486797774105
2003-05-01,56.0583578984608,6.1875403718087085
2003-06-01,55.21748252998389,6.465133065881412
2003-07-01,57.023807395600954,6.370144213031015
2003-08-01,56.71237207394284,5.589939473993155
2003-09-01,57.52210391025394,7.240187765503947
2003-10-01,57.42867331375651,6.035350889624391
2003-11-01,58.61212753605734,7.902480579104187
2003-12-01,62.90993497493934,7.182573457125496
2004-01-01,63.50166208608976,7.694142386900893
2004-02-01,61.4461889631462,7.962042820271176
2004-03-01,65.61942227336495,7.7435762246396145
2004-04-01,60.51188299817185,11.034805716886575
2004-05-01,60.51188299817185,7.644650549318488
2004-06-01,60.51188299817185,9.15601433032327
2004-07-01,60.51188299817185,5.937090470292983
2004-08-01,60.51188299817185,6.484736964983284
2004-09-01,60.51188299817185,5.067046917820051
2004-10-01,60.51188299817185,5.2296045260900925
2004-11-01,60.51188299817185,3.1898129232115657
2004-12-01,60.51188299817185,-3.886434101780978
2005-01-01,60.51188299817185,-4.822632119701442
2005-02-01,60.51188299817185,-1.5322056645175053
2005-03-01,60.51188299817185,-8.103196442674854
2005-04-01,59.9672760511883,-0.9040744652149435
2005-05-01,62.38775137111517,3.052920503482248
2005-06-01,62.93235831809872,3.9220713153280684
2005-07-01,61.96416819012798,2.371652661731538
2005-08-01,62.99287020109689,4.018178963283159
2005-09-01,63.17440585009142,4.30594894604468
2005-10-01,64.92925045703839,7.045846364856079
2005-11-01,63.29542961608775,4.497336564273091
2005-12-01,70.67787934186472,15.529288440603484
2006-01-01,71.70658135283364,16.97427745870943
2006-02-01,68.01535648994516,11.689375147149939
2006-03-01,76.66855575868374,23.665190133900182
2006-04-01,65.83692870201097,9.33818930858994
2006-05-01,69.46764168190128,10.749209286255201
2006-06-01,69.10457038391226,9.356039808053751
2006-07-01,71.16197440585009,13.840232285911913
2006-08-01,69.16508226691042,9.347459517984191
2006-09-01,71.52504570383913,12.41484295234594
2006-10-01,71.22248628884827,9.251036462957885
2006-11-01,75.94241316270568,18.216220694101626
2006-12-01,80.35978062157223,12.838116664820731
2007-01-01,81.63053016453382,12.962080263852371
2007-02-01,77.33418647166363,12.840260448384289
2007-03-01,87.68171846435102,13.422176199954361
2007-04-01,77.57750475319928,16.40965905857925
2007-05-01,82.81577641681902,17.57575228359176
2007-06-01,82.74443290676417,18.013586576585716
2007-07-01,82.68700712979891,15.010387280044934
2007-08-01,81.44887349177331,16.347936052465695
2007-09-01,81.0752731261426,12.533034306904689
2007-10-01,85.15310840950642,17.864232432392413
2007-11-01,83.46053053016455,9.4398500316073
2007-12-01,91.2104689213894,12.665587129961775
2008-01-01,92.29272394881171,12.27619717756534
2008-02-01,90.35610164533821,15.562243328875258
2008-03-01,97.95935923217552,11.083926866382221
2008-04-01,86.126321023766,10.45375697006845
2008-05-01,88.79828372943328,6.974874276363607
2008-06-01,89.78492998171846,8.16604077068419
2008-07-01,87.31719488117002,5.448492535990379
2008-08-01,85.84560639853748,5.2574904100913145
2008-09-01,89.91254954296161,10.345950521025493
2008-10-01,88.45130859232175,3.800130366362886
2008-11-01,84.50617586837295,1.2450787049075096
2008-12-01,89.72944058500914,-1.6370754431897616
2009-01-01,87.3615500914077,-5.491005238494218
2009-02-01,83.8124071297989,-7.517749521699013
2009-03-01,92.90631444241316,-5.296107711901499
2009-04-01,84.46884003656307,-1.9432358271591177
2009-05-01,87.30188537477149,-1.6995263324063536
2009-06-01,88.19104698354663,-1.7911693912297189
2009-07-01,88.78255063985375,1.664272230570596
2009-08-01,90.41836837294335,5.189702834261567
2009-09-01,91.37838939670932,1.6171484436464212
2009-10-01,90.5548831809872,2.350389567297828
2009-11-01,89.85923857404023,6.14198112446509
2009-12-01,98.2579248628885,9.079698081344834
2010-01-01,99.0089983546618,12.515548291594847
2010-02-01,95.31741042047533,12.8631431670029
2010-03-01,106.78792193784278,13.925321583472172
2010-04-01,95.51588939670933,12.290990537244717
2010-05-01,94.72748007312615,8.163207926828076
2010-06-01,94.73395484460696,7.156703787573981
2010-07-01,97.60566727605121,9.474542920057782
2010-08-01,94.45904936014625,4.371896375243534
2010-09-01,97.00054844606949,5.970762192774348
2010-10-01,100.8127970749543,10.730919180597986
2010-11-01,95.60877513711152,6.202017584532893
2010-12-01,106.25886654478977,7.8282346477513975
2011-01-01,106.4404021937843,7.237448622314346
2011-02-01,101.6599634369287,6.442106771803324
2011-03-01,116.84844606946984,9.003293272830248
2011-04-01,100.57074954296161,5.156884061217326
2011-05-01,100.57074954296161,5.985731699211083
2011-06-01,103.71736745886656,9.059709150562778
2011-07-01,101.17586837294333,3.592471551943799
2011-08-01,97.66617915904938,3.3388928314462163
2011-09-01,99.42102376599635,2.4646965427715273
2011-10-01,95.79031078610605,-5.110376284577622
2011-11-01,101.35740402193785,5.838831823815394
2011-12-01,109.10292504570386,2.6413449008255263
2012-01-01,107.46910420475321,0.9618178814556622
2012-02-01,106.01681901279707,4.196419909903248
2012-03-01,113.52029250457039,-2.8896152862344593
2012-04-01,99.3,-1.2715884325302795
2012-05-01,105.0,4.30988947810933
2012-06-01,102.3,-1.3759906161180169
2012-07-01,101.5,0.31985248761587926
2012-08-01,99.9,2.261435686357771
2012-09-01,99.0,-0.4243747863714731
2012-10-01,103.7,7.934057539343353
2012-11-01,98.3,-3.062889706708205
2012-12-01,107.1,-1.8528725710650562
2013-01-01,107.2,-0.2507154876449924
2013-02-01,101.4,-4.452466030029001
2013-03-01,115.2,1.4688138734585188
2013-04-01,102.6,3.2692361685541904
2013-05-01,106.0,0.9478743954543845
