Category,Mean_SHAP_Share_%,Native_Rank,Category_only_Mean_RMSE,Category_only_RMSE_Rank,Mean_RMSE_vs_Full,Mean_GPFI_RMSE_Loss,GPFI_Significant_Model_Count,GPFI_Model_Count,Diagnostic_Classification,Mean_CVG,Mean_Kendall_Tau
Climate,8.896452379515777,1,1.0653329655900434,3,0.25347166155732265,-0.011195928091214974,0,4,Mixed / Inconclusive,0.5376186168218303,0.657491495713053
Macroeconomic,21.494449011282523,1,0.8594563635877024,2,0.047595059554981556,0.0226537472674933,2,4,Non-Linear Synergy,0.6292073008745798,0.657491495713053
Commodity,69.60909860920171,1,0.8011047807129469,1,-0.010756523319774058,0.39792762945720594,4,4,Core Driver,0.3453135500526262,0.657491495713053
