Category,Mean_SHAP_Share_%,Econometric_Rank,Note
Climate,8.896452379515777,,No econometric Phase 4 attribution table found; ML-only synthesis retained.
Macroeconomic,21.494449011282523,,No econometric Phase 4 attribution table found; ML-only synthesis retained.
Commodity,69.60909860920171,,No econometric Phase 4 attribution table found; ML-only synthesis retained.
