Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
ElasticNet,Full,wpi_gram_chana_yoy,Commodity,0.0,27,9,0.0
ElasticNet,Full,wpi_moong_yoy,Commodity,0.0,28,10,0.0
ElasticNet,Full,wpi_urad_yoy,Commodity,0.0,29,11,0.0
ElasticNet,Full,wpi_masur_yoy,Commodity,0.0,30,12,0.0
ElasticNet,Full,wpi_tomato_yoy,Commodity,0.0,31,13,0.0
ElasticNet,Full,wpi_onion_yoy,Commodity,0.0,32,14,0.0
ElasticNet,Full,wpi_potato_yoy,Commodity,0.0,33,15,0.0
ElasticNet,Full,wpi_cabbage_yoy,Commodity,0.0,34,16,0.0
ElasticNet,Full,wpi_mustard_oil_yoy,Commodity,0.0,35,17,0.0
ElasticNet,Full,wpi_soybean_oil_yoy,Commodity,0.0,36,18,0.0
ElasticNet,Full,wpi_groundnut_oil_yoy,Commodity,0.0,37,19,0.0
ElasticNet,Full,wpi_milk_yoy,Commodity,0.0,38,20,0.0
ElasticNet,Full,wpi_egg_yoy,Commodity,0.0,39,21,0.0
ElasticNet,Full,wpi_sugar_yoy,Commodity,0.0,40,22,0.0
ElasticNet,Full,crude_oil_brent_usd_yoy,Commodity,0.0,41,23,0.0
ElasticNet,Full,palm_oil_usd_yoy,Commodity,0.0,42,24,0.0
ElasticNet,Full,global_fertilizer_index_yoy,Commodity,0.0,43,25,0.0
ElasticNet,Full,iip_general_yoy,Macroeconomic,0.011754152159271595,4,1,1.5604364607160948
ElasticNet,Full,USA_CPI,Macroeconomic,0.0,21,2,0.0
ElasticNet,Full,m3_money_supply_yoy,Macroeconomic,0.0,22,3,0.0
ElasticNet,Full,rbi_repo_rate_yoy_diff,Macroeconomic,0.0,23,4,0.0
ElasticNet,Macro_only,m3_money_supply_yoy,Macroeconomic,0.06288705320583926,1,1,100.0
ElasticNet,Macro_only,USA_CPI,Macroeconomic,0.0,2,2,0.0
