Model,Config,RMSE,MAE,MAPE,R2
RandomForest,Full,0.8571301404725504,0.613070121966894,31.26273764484293,0.7408730342308703
RandomForest,Climate_only,1.0206061158543966,0.7694279287685518,40.7947947739715,0.6326031668591957
RandomForest,Macro_only,0.919261014887347,0.7101407881135199,32.88251094907931,0.7019447606682199
RandomForest,Commodity_only,0.8159448510842048,0.565687585519511,28.800309064796608,0.7651769697936207
XGBoost,Full,0.8160543421623342,0.649763520802249,30.08993535536136,0.7651139440835246
XGBoost,Climate_only,1.0124814534768531,0.7782337792995176,40.65731719730214,0.6384293010508677
XGBoost,Macro_only,0.9265839704427316,0.7062598393894395,30.523848884925002,0.697177150911024
XGBoost,Commodity_only,0.7862323065831708,0.603449867779602,28.75813207121659,0.7819676950901149
ElasticNet,Full,0.667913205555761,0.5367368140283152,15.420850553289517,0.8426527576726138
ElasticNet,Climate_only,1.085476706009848,0.8290086415458511,40.19519776742007,0.5844147819859029
ElasticNet,Macro_only,0.8008239543793287,0.5955662377375318,22.866103193409483,0.7737996949472472
ElasticNet,Commodity_only,0.6734508305637475,0.5367099703577476,15.43440246972026,0.8400328301518181
SVR,Full,0.906347527940238,0.7201877721461826,18.70391593137053,0.7102599140144761
SVR,Climate_only,1.1427675870190763,0.8833282405303581,43.948759107096244,0.5393883660097769
SVR,Macro_only,0.7911565146414025,0.5755125377912584,21.948722312235823,0.7792280504831863
SVR,Commodity_only,0.9287911346206642,0.7436672256484352,20.254080638006542,0.6957327576962995
