rainfall_total_mm,rainfall_rate_mm_per_day,temp_mean_celsius,relative_humidity_2m_pct,surface_soil_wetness_index,wind_speed_10m_ms,solar_irradiance_kwm2,rainfall_total_mm_anom,rainfall_rate_mm_per_day_anom,temp_mean_celsius_anom,relative_humidity_2m_pct_anom,surface_soil_wetness_index_anom,wind_speed_10m_ms_anom,solar_irradiance_kwm2_anom,USA_CPI,iip_general_yoy,m3_money_supply_yoy,rbi_repo_rate_yoy_diff,wpi_primary_food_articles_yoy,wpi_manufactured_food_yoy,wpi_wheat_yoy,wpi_rice_yoy,wpi_maize_yoy,wpi_gram_chana_yoy,wpi_arhar_tur_yoy,wpi_moong_yoy,wpi_urad_yoy,wpi_masur_yoy,wpi_tomato_yoy,wpi_onion_yoy,wpi_potato_yoy,wpi_brinjal_yoy,wpi_cabbage_yoy,wpi_garlic_yoy,wpi_mustard_oil_yoy,wpi_soybean_oil_yoy,wpi_groundnut_oil_yoy,wpi_milk_yoy,wpi_egg_yoy,wpi_sugar_yoy,crude_oil_brent_usd_yoy,palm_oil_usd_yoy,global_fertilizer_index_yoy,cpi_headline_yoy_lag1,cpi_headline_yoy_lag12,cpi_headline_yoy
17.2,0.5548387096774193,18.0668,53.97809689,0.50083045,3.560069204,15.04820069,0.1596214645443614,0.15962146454436127,-0.045594131955735424,-0.6435208990992708,-1.0628549695651175,-0.8344437582790747,0.1282962302420351,1.142204454597375,3.861038502646608,13.333227394683078,-1.5,4.034455359449929,0.8956312022070811,-0.9728259840779074,-2.022747481266052,-4.556863129902755,13.936087668095263,-1.5919294217491498,7.863408167933761,-18.96356893598754,2.608843608429768,24.32606934738093,-16.866796437597742,98.54008985345448,15.324467750027893,6.739603704481789,113.53442979368396,3.7387532071620377,6.736154975486741,9.675940014873374,5.290286378082287,2.098437655226704,-5.761710075247972,-27.21778859,38.69215304,-6.159912246,5.156973517685098,3.248261822784144,4.943861624001274
20.8,0.7428571428571429,20.507,52.24629758,0.48982699,3.815813149,18.246609,-0.05615004010312857,-0.04638962467880324,-0.5561564481029321,-0.6069182323611162,-0.601832152959045,0.4323217176951612,0.37277161808627657,1.137656427758806,2.5573799312099688,13.305469728721064,-1.0,4.380262265839274,2.4845998586530804,1.7094433359300163,-1.3522025331974774,-0.6940455853029714,12.39030057981676,-5.644590935665317,8.875342098126904,-15.149181093831432,4.076184233520896,10.329956983780342,-16.346094597835403,67.35258839726184,6.297788178019648,35.21767637368329,108.67971176101778,4.361529242586792,6.385147198653263,14.714862431635334,4.586557466060404,4.073883097910347,-2.8880200427058966,-29.99221273,38.58291336,-0.832182334,4.943861624001274,3.02325509037374,5.191865173257153
22.3,0.7193548387096774,25.0371,48.38941176,0.456228374,3.482560554,21.68747405,-0.45817867279138724,-0.4581786727913871,0.2744041623949914,-0.9131480439883061,-0.8730606961577381,-0.4613945586573821,1.1554428107921384,1.475595913734393,3.9307579032419326,13.188570316069104,-1.0,4.538300584781752,0.6217636610870159,3.653374333245552,-2.1427204839088,2.823451246259756,6.2050590528316185,-4.7765953869582045,5.44726212028559,-17.812203941765947,1.7884232256420771,37.44704757142241,-10.859058747221928,58.11381778692781,-8.685161982018696,31.398116599879657,87.50253766727289,0.8460287349391749,3.350977889887829,14.554230529065793,3.621397532693038,9.77604941258683,-2.9435532102128903,-2.910808416,34.59881215,-2.002928188,5.191865173257153,2.534556725499969,5.168520874389913
39.1,1.3033333333333337,28.5437,47.73197232,0.44266436,3.76200692,23.56363322,-0.015862970664015097,-0.015862970664014073,0.20194095959229397,-1.315365712616995,-1.2607291441359156,0.34258966024992743,1.0973555396040218,1.639344262295075,4.032311698434077,13.266817185210655,-1.0,2.627221350552356,2.602886671127713,-0.5188826862458473,-2.673306219706894,1.295427859269127,0.0,0.2867385477156148,7.259090485896946,-16.946579987173926,3.462264710114038,18.932005263655327,-0.8196767204178279,19.346277351198093,17.21055403838543,35.27145427226355,95.3968548136034,2.5598667415991816,4.587960575069383,18.999512078179272,2.0655794878478684,0.6056036677041909,-4.731111409911337,0.389864042,36.06510923,-3.807194795,5.168520874389913,2.283107764291742,4.687517860366372
58.0,1.870967741935484,30.583,52.16871972,0.46615917,4.666643599,23.29750865,-0.03452927305015212,-0.03452927305015114,0.4198850298606947,-1.3233931903272926,-1.4058496219085521,1.8389396743281559,0.32622145706806255,1.181767023072594,4.040344540233054,15.883136752100311,-1.0,1.4789803146305849,3.8282186571017007,-2.0773972685811604,-4.099428736929767,0.967841315191631,-7.468076453215122,4.661713601568085,7.675400374631813,-15.19079462036914,4.009445720187843,6.435824118807609,-2.32955626035225,-4.357535853863137,-11.721721904669558,17.59259205575492,74.78466843912548,2.62838360742279,4.2027763807927165,15.707104582506748,2.731761318114589,-3.0890487019338053,-4.167269640056803,-11.51549133,49.79222189,2.092752011,4.687517860366372,2.499994495320957,4.656367874298356
169.1,5.636666666666667,29.4811,62.40366782,0.569757785,4.728858131,20.8099654,0.1809708193160166,0.18097081931601686,-0.26968677364535,-0.46655580591984785,-0.44337927689948337,-0.47481616588669434,0.5274002840385424,1.067415730337071,4.428768020111651,15.064543908275851,-1.0,1.7988118524508767,5.800681927435569,-2.469261259037125,-5.037035938894974,-3.943555900221174,-13.821524193694934,6.2561981156660895,6.8257798447738605,-18.619313228606327,4.798594433754921,-2.630974890987936,21.57243333921808,0.6386658898795972,-11.309892822991596,-10.726952037375035,52.91545321119679,15.782580340514984,22.222146733924177,6.99300786783259,3.060544907607809,-4.861045350312043,-5.029202346013584,-13.92205727,51.31758011,3.249916739,4.656367874298356,3.393669267313992,4.157562178793872
138.5,4.467741935483871,28.1895,66.34096886,0.607889273,5.064394464,19.28806228,-3.316098362488823,-3.3160983624888223,0.7297347512307487,-3.111447361114628,-2.641960468089091,0.8856700586670243,1.523991566718942,1.464788732394366,6.866031411774065,15.121675904214626,-1.0,2.266385957721173,4.602346047603412,-2.8041894637095943,-2.785365251103933,4.941332687570021,-15.870473062220114,7.183939101607351,0.976093645333398,-15.709007850281598,3.2677864919045785,-9.53584574976256,34.09704168231129,6.484635552510287,-8.707937413377564,-26.645079643827785,36.67452795922368,15.705242871495706,39.34750205487782,0.995693589479707,4.777027626868646,0.942377398187766,-6.301895024640869,5.170137438,24.59126596,3.529778208,4.157562178793872,4.04491360364108,3.887750750307948
243.6,7.858064516129032,27.4201,72.3067128,0.665467128,4.605743945,17.64519031,-0.1839061951628203,-0.18390619516282042,0.0555020788836027,-2.3887569034590026,-2.196446679685356,0.897796519633111,-0.9518161598332986,1.802816901408449,5.982645031231781,15.36067903728906,-1.0,2.854937810671876,6.492345730707694,-1.4917086703237548,-0.3565066164496144,12.94580672368868,-12.754135807519251,9.745052613433502,-4.485056616535177,-18.171383875641123,4.201095101002483,-14.981652414355915,15.006069457573323,16.50476862311896,13.52443256847975,-22.74312211064915,32.83866202633452,14.095475158193429,39.585149820834296,10.769891658975704,3.84549008326891,5.73686701431555,-6.4144121605738125,3.442022389,20.86747402,7.981442323,3.887750750307948,5.191865173257153,3.862622278586751
136.0,4.533333333333333,26.9258,71.09581315,0.674290657,3.709238754,18.90214533,-0.9362543769482076,-0.9362543769482081,-0.9305350185110679,-1.486547478878253,-1.654919391267101,0.1571596407110324,0.749209764501348,1.514301738642747,6.058824296709364,15.283540117662398,-1.0,2.6712773653399857,6.440991204473168,1.3229988770881107,-0.7092228309492299,10.261141323332668,-8.135552239056842,10.367332106154016,-2.456179336451614,-13.2092436363628,7.687025996408137,-4.060259202550043,17.40024483799898,24.4589232754004,21.357410029805912,-34.670081709727626,41.78615670361548,16.101582411608373,40.43163429042909,18.94644443063345,4.147513870690522,1.588481054002333,-7.507352472355366,10.41833525,31.55168714,1.443026483,3.862622278586751,4.729778874660292,4.30101872760242
58.0,1.870967741935484,25.7823,62.62051903,0.625743945,2.945051903,17.69885813,-0.5313733790619392,-0.5313733790619389,-0.015572771510877438,-1.3946950878427784,-1.9270114550700448,-0.9250615386876779,0.09680838505574503,2.025886325267306,6.792366054493737,15.49201486001266,-1.0,1.5504186535965303,4.947533034902829,0.9750579115376912,-1.131301139700014,10.176272007670306,-12.516314295400566,9.170150284004295,-4.211148535012699,-10.455276117125711,7.421244534773663,15.273924698885022,16.438094807807335,19.78475281611427,-12.921173148000609,-54.4536681108303,35.4272059322422,17.40954973267721,40.316361111988506,20.189844270047352,3.4241834113385217,-12.604072089536531,-8.995688721938633,29.37611185,43.2766507,-0.288600489,4.30101872760242,4.231597825125409,4.059832851287288
